portName,log,lat,asOcount,asDcount,total
A Coruna,-8.39672,43.370152000000004,24,44,68
Aabenraa,9.4214,55.045021,1,0,1
Aalborg,9.91632,57.049339,7,1,8
Aberdeen,-2.10679,57.153819999999996,1,5,6
Acapulco,-99.906967,16.85087,1,0,1
"Accomack County, VA",-75.643742,37.740345,1,0,1
Africa,19.08332,-4.666666,3,7,10
Ahus,14.30192,55.926479,1,0,1
"Aldeburgh, Suffolk",1.59059,52.157841,1,0,1
"Alderney, Channel Islands",-2.20238,49.72303,4,4,8
"Alexandria, Egypt",29.9187386999999,31.2000924,1,0,1
"Alexandria, VA",-77.04341100000002,38.8046,11,1,12
Algiers,3.0390099999999998,36.780559999999994,1,2,3
Alicante,-0.48047,38.344082,21,2,23
Almeria,-2.46084,36.84227,4,0,4
Altea,-0.05068,38.60083,3,0,3
Altona,9.948139999999999,53.568039,52,70,122
Amersfoort,5.38601,52.152119,2,0,2
Amsterdam,4.893330000000001,52.373081,194,250,444
Ancona,13.50866,43.618198,1,2,3
Anklam,13.68232,53.855492000000005,1,0,1
Annaba,7.75017,36.906898,2,1,3
Anse-a-Veaux,-73.379784,18.44973,2,1,3
Antigua,-62.005742000000005,17.3283,1,4,5
Arcachon,-1.16429,44.659119,5,1,6
Arendal,8.75872,58.47006999999999,8,3,11
"Argenton, Landunvez, Bretagne",-4.75,48.51667,1,2,3
Arkhangelsk,40.515578999999995,64.537743,12,2,14
"Arundel, Sussex",-0.5545899999999999,50.854832,1,1,2
Audierne,-4.53993,48.023689000000005,6,10,16
Auray,-2.9822900000000003,47.66571,4,1,5
Aviles,-5.92114,43.558479,1,1,2
Baerum,10.495239999999999,59.940430000000006,1,0,1
Bahamas,-76.574371,24.42492,1,0,1
Baidyabati,88.323601,22.778351,2,0,2
Baltijsk,19.9,54.650002,13,0,13
"Baltimore, MD",-76.609261,39.290581,43,21,64
Bandol,5.7533199999999995,43.1362,1,0,1
Banff,-2.5236400000000003,57.66676,1,0,1
Bangladesh,90.350898,23.60845,2,1,3
Bangor,-4.12592,53.229721,1,0,1
Barbados,-59.534643,13.183545,2,4,6
Barcelona,2.1734034999999396,41.3850639,29,48,77
Barletta,16.2838207,41.319663500000004,1,0,1
"Barnstable, MA",-70.27963299999999,41.654789,1,0,1
Barth,12.72354,54.35815,1,0,1
Basse-Terre,-61.67671,16.157835000000002,5,0,5
Bastia,9.4498596191,42.699840546,2,0,2
"Bay St Louis, Mississippi",-89.333322,30.305326,1,0,1
Bayonne,-1.47627,43.49287,95,61,156
"Beaufort, NC",-76.6638186,34.7182174,2,0,2
"Beaufort, SC",-80.669929504,32.431190491,1,0,1
"Bedford, MA",-71.281471,42.491890000000005,1,0,1
Belfast,-5.93452,54.595291,5,5,10
Belle Ile en Mer,-1.155335,46.3288,3,4,7
Benicarlo,0.42223999999999995,40.419331,7,0,7
Bergen,5.33277,60.390678,30,27,57
Bermuda,-64.795998,32.301029,1,1,2
Berwick upon Tweed,-2.00755,55.771641,1,0,1
"Beverly, MA",-70.878982544,42.547740936,1,0,1
Bilbao,-2.94612,43.26865,46,106,152
"Binan City, Philippines",121.080673,14.33249,1,0,1
Binic,-2.82717,48.600929,1,1,2
Bizerte,9.86704,37.275711,2,0,2
"Blakeney, Norfolk",1.0147899999999999,52.953331000000006,4,0,4
Blaye,-0.66293,45.127628,7,2,9
Bonny Island,7.17842,4.42932,1,1,2
Bordeaux,-0.58105,44.836632,550,416,966
"Boston, MA",-71.05674,42.358662,52,35,87
Boulogne-sur-Mer,1.61507,50.727631,13,13,26
Bourg,-0.555754,45.040657,1,0,1
Bouteilles-Saint-Sebastien,0.30419,45.3452,1,0,1
"Braak, Oberndorf",9.14754,53.737801,3,0,3
Bremen,8.804690000000003,53.0751,14,36,50
Brest,-4.486219999999999,48.390228,62,160,222
Bristol,-2.59156,51.453732,17,19,36
"Broadway, VA",-78.79891240000002,38.61317460000001,1,0,1
Brugge,3.22451,51.208481,5,23,28
Buenos Aires,-58.373539,-34.608521,5,3,8
Cabinda,12.19234,-5.56104,1,0,1
Cabo San Lucas,-109.914597,22.884251000000003,2,0,2
Cadiz,-6.29024,36.529861,78,107,185
Caen,-0.36109,49.184368,3,5,8
Cagliari,9.11052,39.214512,1,2,3
Calais,1.85305,50.953072,18,35,53
Camarinas,-9.18345,43.12962,2,0,2
Canary Islands,-13.847100258,28.63684082,3,0,3
"Cancale, Ille-et-Vilaine, Bretagne",-1.8552999496459999,48.670780181884794,4,3,7
Canton,113.26761599999999,23.107389,5,0,5
Cap Haitien,-72.199669,19.75621,43,33,76
"Cape Cod, MA",-70.314202,41.799116,1,0,1
Cape Verde Islands,-24.01247,15.99969,1,0,1
Cape of Good Hope,18.474666,-34.356714000000004,5,3,8
Caracas,-66.916664,10.5,2,4,6
Cardiff,-3.18072,51.48127,1,0,1
Carmarthen,-4.2989999999999995,51.86055,1,0,1
Carnac,-3.08225,47.584309000000005,1,0,1
Carolinensiel,7.8029399999999995,53.690571,1,0,1
Cartagena,-0.988,37.606730999999996,3,15,18
"Cartagena, Mexico",-71.604637,-33.548629999999996,1,0,1
Carteret,-1.78873099999998,49.37865,1,1,2
Casablanca,-7.6188899999999995,33.596561,1,0,1
"Castine, Maine",-68.79853100000001,44.389351,1,0,1
Castropol,-7.027880000000001,43.524231,1,0,1
Cayenne,-52.320888000000004,4.941730000000001,21,9,30
Chandannagar,88.35829200000002,22.855885999999998,1,0,1
Charente,0.15703,45.64922,10,0,10
"Charleston, SC",-79.931602,32.781151,69,15,84
"Chatham, Kent",0.52251,51.38192,1,1,2
Chennai,80.291191,13.09106,2,0,2
"Chepstow, Monmouthshire",-2.67922,51.637901,3,0,3
Cherbourg,-1.61608,49.640469,12,8,20
Chester,-2.89435,53.188129,2,0,2
China,104.165657,34.668,2,0,2
"Chincoteague, VA",-75.37880859999999,37.933178999999996,1,0,1
Civitavecchia,11.791620255,42.096088409000004,3,0,3
Concarneau,-3.9173400000000003,47.87186,6,3,9
Congo,14.927415,-0.662615,1,0,1
Connecticut,-72.75753,41.515476,1,0,1
Copenhagen,12.56761,55.675658999999996,113,73,186
Corcubion,-9.192860000000001,42.944649,1,0,1
Cork,-8.47277,51.898338,17,21,38
Cornwall,-4.9607725143,50.352470398,1,0,1
Corsica,9.0929746628,42.137145996,1,0,1
"Cowes, Isle of Wight",-1.29787,50.7584,1,4,5
Cuba,-79.544605,21.555929000000003,2,1,3
Curacao,-69.081985474,12.286547660999998,15,2,17
"Dartmouth, Devon",-3.5810000000000004,50.354431,1,7,8
"Dartmouth, MA",-70.966026,41.628208,3,1,4
Delft,4.358709999999999,52.011520000000004,1,2,3
Delfzijl,6.9032100000000005,53.331188,1,0,1
Denia,0.11144000292000002,38.842811584,1,0,1
Dieppe,1.07938,49.927151,41,34,75
Dinan,-2.04795,48.454231,1,0,1
Dingle,-10.26726,52.140652,2,1,3
Dominica,-61.364124,15.416739999999999,1,1,2
Donges,-2.07462,47.319061,1,0,1
Dordrecht,4.6566,51.811939,17,23,40
Douarnenez,-4.330419999999999,48.092388,7,5,12
Dover,1.32918,51.126888,1,2,3
Drammen,10.184,59.74749,12,8,20
Drobak,10.629489999999999,59.662991000000005,1,0,1
Drogheda,-6.356979,53.71603,1,0,1
Dublin,-6.24827,53.348068000000005,21,28,49
"Dumfries, VA",-77.32720999999998,38.567242,1,0,1
Dunkirk,2.37679,51.037048,57,114,171
Edam,5.0560599999999996,52.51189,1,0,1
"Edenton, NC",-76.60546100000002,36.069641,10,5,15
"Edisto Island, SC",-80.29713690000001,32.5503474,1,0,1
"Egero, Farsund",12.13333,65.68333,1,0,1
"Egg Harbor Township, NJ",-74.581237793,39.361991882,2,0,2
El Charco,-14.010229999999998,28.236481,2,0,2
Elblag,19.398609,54.155640000000005,3,0,3
Emden,7.20573,53.366829,25,85,110
Essaouira,-9.756839999999999,31.497009000000002,2,2,4
Etaples,1.63608,50.513939,1,0,1
Falkland Islands,-59.57326,-51.933401,1,0,1
"Falmouth, MA",-70.618111,41.553348,2,0,2
"Faro, Portugal",-7.9345,37.01487,2,0,2
Farsund,6.79285,58.095119999999994,3,1,4
Fecamp,0.37632,49.757647999999996,5,0,5
Ferrol,-8.22733,43.486851,4,35,39
Figuera da Foz,-8.85881,40.148441,2,5,7
Figueres,2.95813,42.265671000000005,1,3,4
Finnmark,29.75197,70.07418100000001,1,0,1
Fiumicino,12.226909637,41.769710541,1,0,1
Flensburg,9.43543,54.78643,8,7,15
"Folkstone, Kent",1.17794,51.084431,1,1,2
Fort-de-France,-61.062679,14.606229999999998,5,0,5
"Franklin, VA",-76.9224608,36.6776507,1,0,1
"Fredericksburg, VA",-77.459137,38.300892,1,1,2
Frederikstad,10.93822,59.21408100000001,3,0,3
"Gabes, Tunisia",10.098230362,33.891239166,1,0,1
"Gainsborough, Lincolnshire",-0.77281,53.395908,1,0,1
Galicia,-8.54431,42.876808000000004,1,0,1
Gallipoli,26.656429,40.414341,1,0,1
Galway,-9.04835,53.273880000000005,4,5,9
Gambia,-15.31143,13.44541,1,0,1
Gdansk,18.65119,54.353142000000005,37,12,49
Genoa,8.938879999999997,44.410351,10,36,46
Georgetown,-58.161251,6.80855,5,4,9
"Georgetown, SC",-79.28074646,33.368301392,3,1,4
Georgia,-83.22295,32.678275,1,0,1
Ghana,-1.2039999962,7.9210000038,1,0,1
Gibraltar,-5.35326,36.145409,3,1,4
Gijon,-5.66386,43.542049,7,5,12
Glasgow,-4.24253,55.857811,1,2,3
Gluckstadt,9.42368,53.788920999999995,13,1,14
Gonaives,-72.773689,19.47555,2,5,7
Gothenburg,11.96706,57.70129,49,27,76
Grandcamp-Maisy,-1.04177,49.386951,1,0,1
Grangemouth,-3.7238900000000004,56.009331,1,2,3
Granville-sur-Mer,-1.59848,48.838661,9,12,21
Grassel,10.58948,52.358429,1,0,1
"Great Yarmouth, Norfolk",1.7240799665451003,52.6126518249512,14,2,16
Greenland,-42.287896999999994,71.70234499999998,4,0,4
Greenock,-4.76015,55.95066800000001,5,7,12
Greifswald,13.384229999999999,54.097308999999996,2,0,2
Groningen,6.5736,53.217152,2,1,3
Guadeloupe,-61.403580000000005,16.173904999999998,40,11,51
Guayaquil,-79.92836800000002,-2.15955,1,0,1
Guayas,-79.92836800000002,-2.15955,1,0,1
Guernsey,-2.53543,49.456451,13,35,48
Haiti,-73.04597099999998,19.054425,37,34,71
Halden,11.38452,59.121520999999994,2,5,7
"Halifax County, NC",-77.652122498,36.257549286,2,1,3
"Halifax, Nova Scotia",-63.57656899999999,44.645458000000005,1,1,2
Hamburg,9.99247,53.553341,114,181,295
"Hampton, NH",-70.83213000000002,42.937248,1,0,1
"Hampton, VA",-76.345123,37.02779,2,1,3
"Harbour Breton, Newfoundland",-55.82156,47.469452000000004,1,0,1
"Harbour Grace, Newfoundland",-53.244,47.681641,1,0,1
Harlingen,5.4246300000000005,53.173489000000004,4,2,6
Harnosand,17.93766,62.633559999999996,1,0,1
"Hastings, Sussex",0.5786899999999999,50.856190000000005,1,2,3
Havana,-82.36749300000001,23.132111,26,10,36
Hellevoetsluis,4.14706,51.830391,3,1,4
Helsingor,12.61337,56.033409,3,6,9
Helsinki,24.93265,60.171162,1,0,1
"Herne Bay, Kent",1.1251,51.371208,1,0,1
Hiers-Brouage,-1.0750199556,45.849849701000004,1,0,1
Hilleroy,12.26867,66.247566,1,0,1
Hondarribia,-1.7936099768,43.36989975,1,0,1
Honduras,-86.738739,15.769620000000002,6,0,6
Honfleur,0.23290999999999998,49.41943,6,13,19
Hooksiel,8.02651,53.62928,1,0,1
Hull,-0.34585,53.743198,8,12,20
Husum,9.049489999999999,54.4758,3,1,4
"Hyattsville, MD",-76.9455301,38.955944200000005,1,0,1
Ibiza,1.4189,38.90612,1,0,1
Ile D'Arz,-2.80124,47.59198,1,1,2
"Ile Tudi, France",-4.160614,47.85411,1,0,1
Ile d'Yeu,-2.34107,46.709594,8,4,12
Ile de Batz,-4.0113,48.747131,1,0,1
Ile de Goree,-17.480326,14.7064,1,1,2
Ile de Re,-1.408915,46.200540000000004,13,8,21
Ilha do Faial,-28.635355,38.529289,2,3,5
"Indian River, Sussex County, Delaware",-75.23716735799998,38.588943481,1,0,1
"Ipswich, Suffolk",1.14544,52.057911,4,2,6
Isigny-sur-Mer,-1.1022399999999999,49.3172,6,1,7
"Iwade, Kent",0.7318549999999959,51.378149,1,0,1
Izmir,27.142296,38.425144,19,2,21
Jaffa,34.75,32.033297999999995,1,0,1
Jakarta,106.82998700000002,-6.169988,25,2,27
Jakobstad,22.710951,63.67639200000001,2,0,2
Jamaica,-76.78823800000002,17.97097,9,5,14
Java,109.901276,-7.327235000000001,3,0,3
Javea,0.16689,38.78904,1,0,1
"Jersey, Channel Islands",-2.11153,49.184490000000004,3,6,9
Kaliningrad,20.50808,54.70891999999999,18,5,23
"Kamperland, Zeeland",3.7040100098,51.571800232,1,1,2
Karlshamn,14.860629999999999,56.16972,1,5,6
Karlskrona,15.583870000000001,56.161442,5,1,6
Katwijk aan Zee,4.39657,52.205181,1,1,2
"Kennebec, Maine",-69.752091,44.414092,1,0,1
Kernevez,-3.9237300000000004,48.372409999999995,1,0,1
"Kings Lynn, Norfolk",0.41576,52.757301,1,1,2
"Kingston, MA",-70.73194100000002,41.993697999999995,1,0,1
Klaipeda,21.14999,55.695721,15,0,15
Kokkola,23.130029999999998,63.838451,2,0,2
Kolkata,88.34944900000002,22.56889,2,1,3
Kolobrzeg,15.575120000000002,54.172821,1,0,1
Kristiansand,7.99484014511108,58.143798828125,15,8,23
"Kronshtadskiy, St Petersburg",30.095066,59.94069399999999,18,0,18
L'Aber Ildut,-4.744900226593019,48.4707565307617,1,1,2
"L'Ampliere, France",-1.418247,49.413063,1,0,1
L'Anse-au-Loup,-56.831210999999996,51.52655,1,0,1
"La Flotte, Ile de Re",-1.33118,46.182442,1,2,3
"La Guaira, Vargas",-66.889488,10.60373,4,5,9
"La Orotava, Tenerife",-16.51898,28.39041,1,1,2
La Perrotine,-1.24285599999996,45.964231,1,0,1
La Roche Bernard,-2.3001298904,47.519378662,1,0,1
"La Rochelle, Charente-Maritime, France",-1.15164,46.159432,69,99,168
La Teste-de-Buch,-1.1451400518000001,44.632911682,2,0,2
La Tremblade,-1.1431200000000001,45.774109,7,3,10
La Trinite,-61.0238481,14.748085699999999,1,0,1
"Lancaster, Lancashire",-2.797634,54.047495,1,3,4
Landerneau,-4.24984,48.450179999999996,4,5,9
Langesund,9.74502,59.002491000000006,1,0,1
Lannion,-3.45985,48.73064,5,10,15
Lanzerote,-13.65041,29.038541,7,0,7
Le Croisic,-2.51382,47.295319,42,16,58
Le Havre,0.1009,49.493488,62,164,226
Le Pouliguen,-2.43059,47.278488,6,1,7
Le Relecq-Kerhuon,-4.398229,48.408015,5,0,5
Le Treport,1.3748600483000002,50.060131073,1,0,1
Leith,-3.16411,55.97749,6,9,15
Lerida,0.62713,41.61452,1,0,1
Les Cayes,-73.752274,18.199539,1,0,1
Libourne,-0.24356999999999998,44.911301,27,3,30
Libreville,9.45738,0.39346,1,0,1
Liepaja,21.0112,56.508492000000004,5,0,5
Lima,-77.026802,-12.05614,2,4,6
Limerick,-8.632589999999999,52.66098,6,8,14
Lisbon,-9.15025,38.72572,82,210,292
Liverpool,-2.97848,53.409771,31,46,77
Livorno,10.319980000000001,43.55291,7,91,98
Lixy,3.096285,48.23814,1,0,1
London,-0.12714,51.506321,81,237,318
"Londonderry, Northern Ireland",-7.320139999999999,54.991797999999996,2,0,2
"Lorient, Bretagne",-3.36685,47.750172,35,53,88
Louannec,-3.4126339999999997,48.79464,1,0,1
Loviisa,26.22366,60.45684,1,0,1
Luarca,-6.53661,43.541889000000005,2,1,3
Lubeck,10.68088,53.866268000000005,16,3,19
"Lyme, Connecticut",-72.33458,41.42242,1,0,1
Maassluis,4.25122,51.924438,2,0,2
Macau,113.559807,22.16625,1,0,1
"Machipongo, VA",-75.9015974,37.4059695,3,0,3
Madeira,-16.908911,32.646881,1,5,6
Malaga,-4.42016,36.718319,43,14,57
Malta,14.380004999999999,35.934051000000004,2,1,3
Mandal,7.456410000000001,58.029812,4,0,4
Manilla,120.984909,14.6019,2,0,2
"Marblehead, MA",-70.86142700000002,42.49733,5,0,5
Marennes,-1.10551,45.822497999999996,31,5,36
Marseille,5.37247,43.293701,50,53,103
Marstrand,11.58954,57.88671899999999,4,3,7
"Martha's Vineyard, MA",-70.65284,41.391914,1,0,1
Martigues,5.05523,43.406528,1,0,1
Martinique,-61.02281,14.630625,68,66,134
Maryland,-76.39700317400002,39.033000946,1,0,1
Mauritius,57.589000702,-20.219999313,29,22,51
Medemblik,5.10659,52.772259,1,1,2
"Mesquer, Loire-Atlantique",-2.4607980000000698,47.399615000000004,3,0,3
Messina,15.55309,38.178340999999996,2,1,3
"Metompkin, VA",-75.602333,37.769756,2,0,2
Middelburg,3.60965,51.495441,2,7,9
"Middletown, DE",-75.71632070000001,39.449556,1,0,1
"Milford, Connecticut",-73.057327,41.22501,1,0,1
Mirigoane,-73.085251,18.41432,1,0,1
Mocha,43.259109,13.309379999999999,1,0,1
Mole Saint-Nicolas,-73.262039,19.861641,1,0,1
Mole-Saint-Nicolas,-73.26203918500002,19.86164093,3,1,4
Monserrat,-0.59834,39.356659,1,0,1
Monterosso al Mare,9.6548299789,44.14939880399999,1,0,1
Montevideo,-56.16302099999999,-34.874161,17,5,22
Montrose,-2.46618,56.721439000000004,1,2,3
"Montserrat, Caribbean",-62.1945,16.74416,3,0,3
Morlaix,-3.8261800000000004,48.577061,34,41,75
Moss,10.6702,59.43411999999999,1,0,1
Mundaka,-2.70037,43.409431,1,0,1
Muros,-9.05766,42.774811,2,0,2
Nantes,-1.55306,47.218109000000005,160,267,427
"Nantucket, MA",-70.099327,41.28521,1,2,3
Naples,14.25176,40.839989,2,4,6
Narbonne,3.00432,43.188351000000004,1,0,1
Narva,28.178671,59.379768000000006,9,3,12
Neath,-3.79981,51.662708,2,1,3
"New Bern, NC",-77.042068,35.108452,3,1,4
"New Castle County, Delaware",-75.605968,39.564732,1,0,1
"New Haven, CT",-72.92498000000002,41.307128999999996,1,0,1
"New London, CT",-72.096474,41.356442,2,2,4
"New Orleans, Louisiana",-90.077751,29.953699,1,1,2
"New Providence, Bahamas",-77.34078199999999,25.077471,2,2,4
New York,-74.00711800000002,40.71455,44,25,69
"Newburyport, MA",-70.872963,42.812038,12,7,19
Newcastle-upon-Tyne,-1.61162,54.977940000000004,13,7,20
Newfoundland,-60.21835,53.456805,37,31,68
"Newhaven, East Sussex",0.05033,50.792831,1,0,1
"Newport, RI",-71.31133299999999,41.492160999999996,3,0,3
Newry,-6.36477,54.113898999999996,1,1,2
Nieulle-sur-Seudre,-1.001647,45.751521000000004,1,0,1
Nieuport,2.750785,51.128515,3,4,7
Nieuwediep,6.85257,53.04554,1,0,1
Noirmoutier-en-Ile,-2.2476599999999998,47.00029,3,0,3
"Norfolk, VA",-76.28505699999998,36.846821000000006,13,4,17
Norrkoping,16.19383,58.584591,2,0,2
North Shields,-1.44795,55.01086,3,1,4
"Northampton County, VA",-75.84249100000001,37.336534,1,0,1
Norway,10.74998,59.912312,1,2,3
"Norwich, Connecticut",-72.07570600000001,41.526562,1,0,1
Oberg,10.24427,52.255859,1,0,1
"Olabeaga, Bilbao",-2.9545099735259996,43.2636795043945,1,0,1
Oleron,-1.30041,45.924019,13,4,17
Omonville-la-Rogue,-1.8430999517,49.70249176,1,0,1
Oporto,-8.61031,41.14946,19,35,54
Oslo,10.74998,59.91228100000001,11,5,16
Ostende,2.9127,51.231258000000004,33,93,126
"Oxford, Talbot County, MD",-76.172012329,38.687618256,1,1,2
Paimbouef,-2.03481,47.288879,4,1,5
Paimpol,-3.03943,48.778278,6,6,12
Panama,-79.535393,8.952400000000003,1,0,1
"Paradise, Newfoundland and Labrador",-52.87608,47.527821,1,0,1
Paramaribo,-55.167880000000004,5.823201,1,0,1
Parnu,24.49785,58.385899,2,0,2
Pasaia,-1.92177999019623,43.326000213623,7,0,7
Patras,21.732559,38.244251,3,0,3
Penerf,-2.5927238463999998,47.534915923999996,4,1,5
"Penobscot, Maine",-68.705711,44.460449,1,0,1
"Penzance, Cornwall",-5.53492,50.119808,1,0,1
Pernambuco,-34.872009000000006,-8.05537,1,0,1
